,Organisation,Investors,Location
17402, Nuevolution ," Industrifonden, SEB Venture Capital, Sunstone Life Science Ventures"," Copenhagen, Hovedstaden, Denmark, Europe"
17403, Protein Fit , Northstar Ventures, — 
17404, Ablative Solutions , BioStar Ventures," San Jose, California, United States, North America"
17405, Ella Health , — ," San Francisco, California, United States, North America"
17406, Maximus Media Worldwide , — ," Pittsburgh, Pennsylvania, United States, North America"
17407, Shareable Ink , Lemhi Ventures," Nashville, Tennessee, United States, North America"
17408, ESO , Austin Ventures," Austin, Texas, United States, North America"
17409, AbGenomics , — ," Los Altos, California, United States, North America"
17410, Advanced Life Wellness Institute , — ," Houston, Texas, United States, North America"
17411, PluroGen Therapeutics , Keiretsu Forum," Charlottesville, Virginia, United States, North America"
17412, Tetra Discovery , Dolby Family Ventures," Grand Rapids, Michigan, United States, North America"
17413, Relevare Pharmaceuticals , — ," Brisbane, Queensland, Australia, Oceania"
17414, Liquid Health Labs , — ," Deerfield, New Hampshire, United States, North America"
17415, Oxford Immunotec ," Clarus Ventures, Draper Esprit, Imperial Innovations, Invesco, Kaiser Permanente Ventures, New Leaf Venture Partners, Spark Ventures, Wellington Partners"," Abingdon, Oxfordshire, United Kingdom, Europe"
17416, Ohm Universe ," Keith Ballingall, Michael Martin, Sue-Ellen Barker"," Gilmanton Iron Works, New Hampshire, United States, North America"
17417, Q-Sera ," Medical Research Commercialisation Fund (MRCF), Uniseed Ventures"," Kolkata, West Bengal, India, Asia"
17418, Medalogix , — ," Nashville, Tennessee, United States, North America"
17419, Health Integrated , — ," Tampa, Florida, United States, North America"
17420, Aidin ," Band of Angels, Charlie Songhurst, General Catalyst, HLM Venture Partners, Red Swan Ventures"," New York, New York, United States, North America"
17421, Surgical Affiliates Management Group , Summit Partners," Sacramento, California, United States, North America"
17422, Biophysical Corporation , — ," Austin, Texas, United States, North America"
17423, Bellbrook Labs , — ," Madison, Wisconsin, United States, North America"
17424, Orions Systems , — ," Snoqualmie, Washington, United States, North America"
17425, CytoLogic , — ," Boulder, Colorado, United States, North America"
17426, Ethio-American Doctors Group , — ," Washington, District of Columbia, United States, North America"
17427, DNA Guide , Boyd Faust," San Francisco, California, United States, North America"
17428, ART MEDICAL , — ," Netanya, HaMerkaz, Israel, Asia"
17429, Zava , — ," London, England, United Kingdom, Europe"
17430, Topsfield Medical GmbH , High-Tech Grunderfonds," Berlin, Berlin, Germany, Europe"
17431, ClaimSync , Meltwater Entrepreneurial School of Technology (MEST)," Accra, Greater Accra, Ghana, Africa"
17432, AgileMD , Rock Health," San Francisco, California, United States, North America"
17433, LABOMAR , Fondo Italiano d'Investimento," Istrana, Veneto, Italy, Europe"
17434, Invuity ," InterWest Partners, Kleiner Perkins, Valence Life Sciences, Wexford Capital"," San Francisco, California, United States, North America"
17435, Wellcentive , — ," Alpharetta, Georgia, United States, North America"
17436, VeraLight , — ," Albuquerque, New Mexico, United States, North America"
17437, SonarMed , — ," Indianapolis, Indiana, United States, North America"
17438, Seventh Sense Biosystems ," Flagship Pioneering, Polaris Partners"," Cambridge, Massachusetts, United States, North America"
17439, Motus Therapeutics ," Ipsen, MPM Capital, New Enterprise Associates, Third Rock Ventures"," Boston, Massachusetts, United States, North America"
17440, KDL Test ," CapMan, European Bank for Reconstruction and Development, UFG Private Equity"," Moscow, Moscow City, Russian Federation, Europe"
17441, CryoXtract Instruments , — ," Arlington, Virginia, United States, North America"
17442, Pentec Health , Norwest Equity Partners (NEP)," Glen Mills, Pennsylvania, United States, North America"
17443, GoHealth , Norwest Equity Partners (NEP)," Chicago, Illinois, United States, North America"
17444, Novast , Eli Lilly," Nantong, Jiangsu, China, Asia"
17445, Acrinta , Dave Mawhinney," Pittsburgh, Pennsylvania, United States, North America"
17446, CellScope ," Claremont Creek Ventures, Khosla Ventures, Montage Ventures, Rock Health"," San Francisco, California, United States, North America"
17447, Horsport , Thilo Veil," Frankfurt, Hessen, Germany, Europe"
17448, Brolis Semiconductors , — ," Vilnius, Vilniaus Apskritis, Lithuania, Europe"
17449, Twelve ," Domain Associates, Morgenthaler Ventures, Versant Ventures"," Menlo Park, California, United States, North America"
17450, Alchemy Pharmatech ," Spark Ventures, The North West Fund"," Daresbury, Halton, United Kingdom, Europe"
17451, medidametrics , — ," Rockville, Maryland, United States, North America"
17452, Glocal Healthcare ," Elevar Equity, Sequoia Capital India"," Kolkata, West Bengal, India, Asia"
17453, AliveCor ," Bold Capital Partners, Burrill & Company, Khosla Ventures, Oklahoma Life Science Fund, Qualcomm Ventures"," Mountain View, California, United States, North America"
17454, Femasys , — ," Suwanee, Georgia, United States, North America"
17455, Blaze Bioscience , — ," Seattle, Washington, United States, North America"
17456, Guardant Health , Plug and Play," Redwood City, California, United States, North America"
17457, Munogenics , — ," Austin, Texas, United States, North America"
17458, MyGenomics , Northstar Ventures," Newcastle, Newcastle upon Tyne, United Kingdom, Europe"
17459, Citizens Rx , — ," Oak Park, Illinois, United States, North America"
17460, ProTip , Seventure Partners," Rotterdam, Zuid-Holland, The Netherlands, Europe"
17461, Astute Medical ," Delphi Ventures, DeNovo Ventures, Domain Associates, Johnson & Johnson Development Corporation, Kaiser Permanente Ventures, MPM Capital"," San Diego, California, United States, North America"
17462, Bolder Surgical , — ," Boulder, Colorado, United States, North America"
17463, Ringadoc ," Pathfinder, Ryan Howard, Sharon Knight"," San Francisco, California, United States, North America"
17464, Coridea , — ," New York, New York, United States, North America"
17465, Qspex Technologies ," Essex Woodlands Healthcare Partners, Spindletop Capital Management"," Alpharetta, Georgia, United States, North America"
17466, AcelRx Pharmaceuticals , — ," Redwood City, California, United States, North America"
17467, Cardeas Pharma ," Avalon Ventures, Devon Park BioVentures, Novo Ventures"," Seattle, Washington, United States, North America"
17468, Mabimmune , Venture Kick," Schlieren, Zurich, Switzerland, Europe"
17469, CareinSync , HealthTech Capital," Santa Clara, California, United States, North America"
17470, Castlewood Surgical , — ," Dallas, Texas, United States, North America"
17471, GenomOncology ," JumpStart, North Coast Ventures"," Cleveland, Ohio, United States, North America"
17472, Tinteo , — ," Meyreuil, Provence-Alpes-Cote d'Azur, France, Europe"
17473, Ensysce Biosciences , Texas Wide Open for Business," San Diego, California, United States, North America"
17474, ReShape Lifesciences , — ," San Clemente, California, United States, North America"
17475, 1Drop Diagnostics , — ," Neuchâtel, Neuchatel, Switzerland, Europe"
17476, Corvia Medical , — ," Andover, Massachusetts, United States, North America"
17477, Truven Health Analytics , InvestMichigan," Ann Arbor, Michigan, United States, North America"
17478, MapMyFitness ," Activate Venture Partners, Austin Ventures, Competitor Group, The Running Company"," Denver, Colorado, United States, North America"
17479, MetaModix , — ," Plymouth, Minnesota, United States, North America"
17480, International Network for Outcomes Research(INOR) , — ," Lexington, Kentucky, United States, North America"
17481, NeuroSave , — ," San Francisco, California, United States, North America"
17482, InSite Medical Technologies , — ," Saratoga, California, United States, North America"
17483, Planipes , Venture Kick," Zürich, Zurich, Switzerland, Europe"
17484, Ceptaris Therapeutics ," Aperture Venture Partners, BioAdvance, Burrill & Company, Osage Venture Partners, Palo Alto Investors, Third Point Ventures, Vivo Capital"," Malvern, Pennsylvania, United States, North America"
17485, HyperBranch Medical Technology , — ," Durham, North Carolina, United States, North America"
17486, Peak Health Solutions , EDG Partners," Franklin, Tennessee, United States, North America"
17487, Wellfount , — ," Indianapolis, Indiana, United States, North America"
17488, Yisheng , Eight Roads Ventures," Singapore, Central Region, Singapore, Asia"
17489, Motus Therapeutics , — ," Boston, Massachusetts, United States, North America"
17490, TriVascular ," Delphi Ventures, Kaiser Permanente Ventures, Kearny Venture Partners, MPM Capital, New Enterprise Associates, Pinnacle Ventures, Redmile Group"," Santa Rosa, California, United States, North America"
17491, Respiratory Care Africa ," RMB Corvest, Shalamuka Capital"," Gauteng, NA - South Africa, South Africa, Africa"
17492, Par8o , Founder Collective," Cambridge, Massachusetts, United States, North America"
17493, eHealth Systems , Start-Up Chile," Santiago, Region Metropolitana, Chile, South America"
17494, Alizé Pharma ," Octalfa, Sham Innovation Santé"," Écully, Rhone-Alpes, France, Europe"
17495, Drais Pharmaceuticals ," InterWest Partners, Sutter Hill Ventures"," Bridgewater, New Jersey, United States, North America"
17496, SentreHEART ," Prospect Venture Partners, U.S. Venture Partners (USVP), Vivo Capital"," Redwood City, California, United States, North America"
17497, Awarepoint ," Avalon Ventures, Cardinal Partners, Icon Ventures, Kleiner Perkins, New Leaf Venture Partners, Top Tier Capital Partners, Venrock"," San Diego, California, United States, North America"
17498, LINK CARE SERVICES ," Bpifrance, I-Source Gestion, Siparex Groupe"," Fresno, California, United States, North America"
17499, Propanc , — ," Melbourne, Victoria, Australia, Oceania"
17500, Tractus Corporation , Keiretsu Forum," Austin, Texas, United States, North America"
17501, Serona Health , CIE at IIIT," Hyderabad, Andhra Pradesh, India, Asia"
17502, Urova Medical ," Innova Memphis, MB Venture Partners"," Memphis, Tennessee, United States, North America"
17503, Omnisoft Services ," Blank Slate Ventures, Chattanooga Renaissance Fund, Solidus Company"," Chattanooga, Tennessee, United States, North America"
17504, Care at Hand , Rock Health," San Francisco, California, United States, North America"
17505, Home Team Therapy , Rock Health," Somerville, Massachusetts, United States, North America"
17506, Neumitra ," MassChallenge, Morado Ventures, Rock Health"," Boston, Massachusetts, United States, North America"
17507, ECOSURG ," Innova Memphis, MB Venture Partners"," Memphis, Tennessee, United States, North America"
17508, Infermedica , — ," Wroclaw, Dolnoslaskie, Poland, Europe"
17509, Wellframe , Summer@Highland," Boston, Massachusetts, United States, North America"
17510, Annoroad , Zhengxuan Investment," Beijing, Beijing, China, Asia"
17511, Tiber Health , University Ventures," New York, New York, United States, North America"
17512, Encapson , Twente Technology Fund," Enschede, Overijssel, The Netherlands, Europe"
17513, Blizzident , — ," Munich, Bayern, Germany, Europe"
17514, Evariant , — ," Farmington, Connecticut, United States, North America"
17515, Polku , Aalto Startup Center," New York, New York, United States, North America"
